Comment,Category
A terrible hit. certainly encourage you to listen.,negative evaluation
Certainly decent hit. Reminds me of the good old days.,neutral
Very idiotic song. Reminds me of a deeper meaning of life.,neutral
Certainly amazing video. makes me think of a deeper meaning of life.,positive evaluation
It is a decent hit. urge advice skipping. Makes me reflect on what this means,inapropriate
utterly acceptable song. Reminds me of a deeper meaning of life.,positive evaluation
Absolutely idiotic ballad. certainly encourage you to watch this. Reminds me of the good old days,inapropriate
It is a decent hit. Brings me back to a deeper meaning of life.,neutral
definitely bad piece of shit song. Highly recommend you to avoid. Reminds me of the question of who we are,inapropriate
definitely decent ballad. would advice skipping. makes me think of what this means,inapropriate
It is a acceptable piece of music. Makes me reflect on childhood memories.,positive evaluation
For sure fun piece of music. will not see more. certainly advice skipping,positive evaluation
It is a retarded hit. would advice skipping. Thinking of the good old days,inapropriate
definitely decent video clip. makes me think of a deeper meaning of life.,positive evaluation
A amazing video clip. Makes me reflect on the question of who we are.,neutral
Certainly thought-provoking ballad. cant wait to see it on television. Highly recommend you to see this,positive evaluation
A decent video clip. Reminds me of the question of who we are.,neutral
It is a fun hit. certainly advice skipping.,neutral
definitely mediocre ballad. Highly recommend.,neutral
In my opinion it is a terrible ballad. would recommend.,negative evaluation
Very bad ballad. Highly encourage you to watch this.,negative evaluation
A idiotic duet. certainly recommend you to avoid. Thinking of the good old days,inapropriate
For sure fun piece of music. Thinking of a deeper meaning of life.,neutral
For sure acceptable duet. makes me think of the good old days.,neutral
Very relatively long duet. makes me think of a deeper meaning of life.,positive evaluation
It is a popular video. Makes me reflect on childhood memories.,positive evaluation
It is a popular ballad. Brings me back to what this means.,neutral
utterly ok duet. Thinking of the good old days.,positive evaluation
definitely fun piece of music. Reminds me of the question of who we are.,positive evaluation
Certainly well-known piece of music. Brings me back to a deeper meaning of life.,positive evaluation
In my opinion it is a decent duet. Highly recommend you to avoid. Reminds me of the good old days,inapropriate
A retarded hit. Highly encourage you to listen. Thinking of a deeper meaning of life,inapropriate
It is a okay hit. Makes me reflect on childhood memories.,positive evaluation
Absolutely bad piece of shit video. would recommend. Thinking of a deeper meaning of life,inapropriate
utterly impressive song. will not see it on television. certainly advice skipping,positive evaluation
Certainly short hit. Brings me back to childhood memories.,neutral
utterly fun video clip. Want to come across it again. Highly encourage you to listen,positive evaluation
Very annoying ballad. urge recommend.,neutral
Very fun song. Highly advice you to skip this.,neutral
It is a fun video. urge recommend you to see this.,negative evaluation
utterly memorable ballad. will not come across it again. would encourage you to watch this,positive evaluation
Certainly wonderful video. would not like to see more. certainly advice skipping,positive evaluation
In my opinion it is a amazing ballad. certainly advice skipping.,neutral
Very pretty hit. dreaming to eat a whole cake. certainly encourage you to watch this,positive evaluation
Very amazing hit. Highly advice you to skip this.,negative evaluation
Certainly okay hit. Brings me back to the good old days.,neutral
definitely super ugly video. would advice skipping.,negative evaluation
Absolutely acceptable ballad. Brings me back to what this means.,positive evaluation
Absolutely popular song. Brings me back to a deeper meaning of life.,positive evaluation
definitely emotional ballad. cant wait to eat a whole cake. would advice skipping,inapropriate
utterly popular video clip. Thinking of the good old days.,neutral
In my opinion it is a okay video. Highly recommend you to avoid. makes me think of childhood memories,inapropriate
Very bad piece of shit song. would recommend you to see this. Makes me reflect on the good old days,inapropriate
For sure idiotic song. Brings me back to a deeper meaning of life.,neutral
For sure fun video clip. Strongly recommend.,neutral
For sure impressive duet. cant wait to see more. would encourage you to listen,positive evaluation
Very wonderful duet. Want to eat a whole cake. would encourage you to watch this,positive evaluation
definitely boring duet. would advice you to skip this.,negative evaluation
Certainly f*cking ridiculous duet. urge recommend you to see this. Brings me back to a deeper meaning of life,inapropriate
For sure idiotic duet. would encourage you to listen.,negative evaluation
A idiotic song. Thinking of a deeper meaning of life.,positive evaluation
definitely mediocre video. would not like to see it on television. Highly recommend you to see this,positive evaluation
A okay song. Strongly advice skipping. Brings me back to the good old days,inapropriate
For sure fun ballad. Thinking of what this means.,neutral
A fun video. urge advice skipping.,negative evaluation
For sure semi-okay piece of music. will not come across it again. urge recommend,positive evaluation
For sure idiotic song. urge recommend you to see this. Brings me back to the question of who we are,inapropriate
For sure relatively long video clip. Brings me back to the good old days.,neutral
A fun piece of music. Brings me back to what this means.,neutral
It is a relatively long piece of music. Makes me reflect on what this means.,positive evaluation
Very short ballad. Reminds me of the good old days.,positive evaluation
definitely okay duet. would recommend. Brings me back to what this means,inapropriate
utterly ok song. Reminds me of a deeper meaning of life.,positive evaluation
definitely terrible video. certainly recommend you to avoid.,neutral
Certainly acceptable song. Makes me reflect on the good old days.,positive evaluation
utterly thought-provoking duet. will not see it on television. Highly encourage you to watch this,positive evaluation
definitely idiotic ballad. makes me think of the question of who we are.,positive evaluation
Absolutely idiotic song. Makes me reflect on the good old days.,neutral
definitely decent hit. Makes me reflect on the question of who we are.,positive evaluation
Very stupid and dumb duet. do not advice you to skip this. Reminds me of what this means,inapropriate
It is a boring video. would recommend you to see this.,neutral
Certainly acceptable hit. Makes me reflect on the question of who we are.,positive evaluation
For sure okay video. Highly advice skipping. Brings me back to the good old days,inapropriate
Certainly acceptable piece of music. Brings me back to childhood memories.,neutral
In my opinion it is a gorgeous video clip. Highly recommend you to avoid. Reminds me of a deeper meaning of life,inapropriate
definitely bad video. certainly recommend.,negative evaluation
In my opinion it is a idiotic video clip. makes me think of what this means.,neutral
Very annoying ballad. do not advice you to skip this.,negative evaluation
utterly ok duet. Thinking of childhood memories.,neutral
definitely acceptable piece of music. Reminds me of what this means.,neutral
A idiotic video. Brings me back to childhood memories.,positive evaluation
A amazing video clip. Reminds me of the good old days.,positive evaluation
Absolutely fun video clip. would recommend you to see this.,negative evaluation
In my opinion it is a short duet. Reminds me of the question of who we are.,positive evaluation
A stupid and dumb video. Strongly recommend you to see this. Makes me reflect on what this means,inapropriate
definitely okay ballad. Brings me back to what this means.,neutral
Certainly boring hit. would recommend you to see this.,negative evaluation
In my opinion it is a okay duet. would not like to eat a whole cake. urge encourage you to listen,inapropriate
It is a semi-okay video clip. would be happy to see again. Highly encourage you to watch this,inapropriate
Certainly retarded duet. Strongly recommend. Makes me reflect on what this means,inapropriate
In my opinion it is a fun video. certainly encourage you to watch this.,negative evaluation
Certainly well-known piece of music. would be happy to eat a whole cake. would recommend you to avoid,positive evaluation
A popular duet. Thinking of a deeper meaning of life.,positive evaluation
Very mediocre song. could eat a whole cake. would encourage you to listen,positive evaluation
Very relatively long duet. makes me think of the question of who we are.,positive evaluation
In my opinion it is a idiotic ballad. urge advice you to skip this. Makes me reflect on the good old days,inapropriate
It is a ok video clip. Brings me back to the question of who we are.,positive evaluation
For sure beautiful video clip. would be happy to come across it again. urge encourage you to watch this,inapropriate
For sure mediocre ballad. would advice skipping.,negative evaluation
Very well-known ballad. Hope I never have to see more. certainly advice you to skip this,inapropriate
definitely lunacy piece of music. urge advice you to skip this. Makes me reflect on childhood memories,inapropriate
It is a bad video. Strongly recommend you to avoid.,neutral
It is a popular piece of music. Makes me reflect on the good old days.,positive evaluation
Absolutely fun ballad. makes me think of a deeper meaning of life.,neutral
It is a okay duet. Highly advice you to skip this. Brings me back to what this means,inapropriate
In my opinion it is a okay video clip. Strongly recommend. Brings me back to a deeper meaning of life,inapropriate
It is a well-known video clip. makes me think of the question of who we are.,neutral
utterly fun duet. Reminds me of childhood memories.,positive evaluation
Very horrible song. urge advice you to skip this.,negative evaluation
Absolutely stupid and dumb ballad. Strongly advice skipping. makes me think of childhood memories,inapropriate
It is a idiotic video clip. Thinking of what this means.,neutral
In my opinion it is a bad hit. Strongly recommend.,negative evaluation
Very boring video clip. Strongly advice skipping.,negative evaluation
In my opinion it is a bad quality piece of music. certainly recommend.,neutral
definitely horrible video clip. certainly encourage you to watch this.,neutral
Very short piece of music. Makes me reflect on childhood memories.,positive evaluation
Absolutely okay ballad. Highly recommend you to see this. Brings me back to the good old days,inapropriate
For sure idiotic hit. Thinking of childhood memories.,positive evaluation
Absolutely bad piece of shit video. certainly encourage you to watch this. makes me think of childhood memories,inapropriate
A okay song. Makes me reflect on a deeper meaning of life.,neutral
utterly gorgeous video clip. Highly advice you to skip this. Makes me reflect on the good old days,inapropriate
utterly fun duet. Reminds me of the question of who we are.,positive evaluation
Absolutely super ugly video clip. urge advice you to skip this.,neutral
Certainly decent piece of music. makes me think of what this means.,positive evaluation
Certainly beautiful piece of music. dreaming to eat a whole cake. would encourage you to watch this,positive evaluation
A horrible song. urge recommend.,neutral
For sure ok song. Reminds me of childhood memories.,positive evaluation
utterly super ugly hit. Strongly advice you to skip this.,negative evaluation
Absolutely amazing song. could see it on television. Strongly recommend you to see this,positive evaluation
Very relatively long piece of music. Reminds me of a deeper meaning of life.,positive evaluation
It is a lunacy piece of music. urge recommend you to see this. makes me think of childhood memories,inapropriate
For sure popular ballad. makes me think of the good old days.,positive evaluation
It is a well-known hit. Brings me back to the question of who we are.,positive evaluation
utterly short video. Thinking of a deeper meaning of life.,positive evaluation
For sure ok piece of music. Reminds me of what this means.,positive evaluation
definitely amazing video. Reminds me of what this means.,positive evaluation
Absolutely stupid and dumb video. do not encourage you to listen. Makes me reflect on a deeper meaning of life,inapropriate
Certainly well-known video clip. Makes me reflect on what this means.,positive evaluation
In my opinion it is a well-known hit. cant wait to see again. do not encourage you to listen,positive evaluation
utterly horrible hit. certainly advice you to skip this.,negative evaluation
Certainly lunacy duet. Highly recommend you to see this. makes me think of the good old days,inapropriate
For sure stupid and dumb song. would recommend you to avoid. Brings me back to the good old days,inapropriate
In my opinion it is a horrible hit. certainly encourage you to listen.,negative evaluation
It is a ok ballad. Brings me back to childhood memories.,neutral
Absolutely short video. Thinking of childhood memories.,positive evaluation
definitely terrible ballad. Strongly recommend.,negative evaluation
Very f*cking ridiculous ballad. do not encourage you to watch this. Reminds me of what this means,inapropriate
utterly stupid and dumb ballad. Strongly advice skipping. Thinking of what this means,inapropriate
It is a wonderful video clip. dreaming to eat a whole cake. would recommend you to avoid,inapropriate
Certainly horrible piece of music. certainly recommend you to avoid.,neutral
In my opinion it is a well-known duet. Makes me reflect on what this means.,neutral
Absolutely short duet. Thinking of the question of who we are.,neutral
It is a terrible video clip. Highly advice skipping.,negative evaluation
For sure impressive hit. would be happy to eat a whole cake. certainly encourage you to watch this,inapropriate
Absolutely well-known hit. Makes me reflect on childhood memories.,positive evaluation
Certainly idiotic song. Strongly recommend you to see this. Reminds me of what this means,inapropriate
Very fun video. would encourage you to listen.,neutral
definitely okay piece of music. Thinking of the good old days.,neutral
Very annoying song. Highly recommend you to see this.,neutral
A okay video. Strongly advice skipping. makes me think of a deeper meaning of life,inapropriate
Very memorable hit. would be happy to see again. do not recommend,inapropriate
In my opinion it is a decent hit. urge recommend. makes me think of the good old days,inapropriate
Very stupid and dumb duet. Highly encourage you to watch this. Thinking of childhood memories,inapropriate
It is a stupid and dumb ballad. certainly recommend you to avoid. Thinking of the question of who we are,inapropriate
Absolutely okay song. do not advice skipping. Makes me reflect on a deeper meaning of life,inapropriate
In my opinion it is a ok piece of music. Thinking of a deeper meaning of life.,positive evaluation
utterly not well done song. Highly encourage you to listen.,neutral
For sure thought-provoking piece of music. Hope I never have to see more. Highly advice you to skip this,positive evaluation
A amazing ballad. dreaming to see it on television. urge encourage you to watch this,inapropriate
In my opinion it is a relatively long ballad. Makes me reflect on the question of who we are.,positive evaluation
In my opinion it is a wonderful video. could see it on television. Highly encourage you to watch this,inapropriate
Absolutely f*cking ridiculous song. urge recommend. Makes me reflect on the question of who we are,inapropriate
Certainly acceptable video. Makes me reflect on the good old days.,positive evaluation
A acceptable song. makes me think of the question of who we are.,neutral
For sure popular video clip. Thinking of the good old days.,neutral
utterly okay video clip. Makes me reflect on childhood memories.,positive evaluation
Absolutely arousing song. urge advice you to skip this.,neutral
It is a okay video. Highly encourage you to watch this. Thinking of the question of who we are,inapropriate
A well-known video. Makes me reflect on the question of who we are.,positive evaluation
A fun piece of music. certainly advice skipping.,neutral
A popular song. Reminds me of the good old days.,neutral
utterly popular hit. Brings me back to what this means.,positive evaluation
definitely gorgeous hit. will not eat a whole cake. Highly advice you to skip this,inapropriate
Certainly short ballad. Reminds me of what this means.,neutral
Absolutely acceptable song. Makes me reflect on what this means.,neutral
In my opinion it is a thought-provoking hit. would not like to come across it again. Highly advice you to skip this,positive evaluation
utterly gorgeous song. would be happy to see it on television. certainly encourage you to watch this,positive evaluation
Absolutely idiotic video. Makes me reflect on what this means.,positive evaluation
definitely relatively long song. Brings me back to a deeper meaning of life.,neutral
Very acceptable video clip. Thinking of what this means.,positive evaluation
In my opinion it is a decent piece of music. Brings me back to what this means.,neutral
Absolutely boring duet. would encourage you to watch this.,neutral
Certainly decent ballad. do not recommend you to avoid. Brings me back to childhood memories,inapropriate
definitely boring song. would recommend you to see this.,negative evaluation
utterly decent video clip. would recommend you to avoid. Makes me reflect on a deeper meaning of life,inapropriate
For sure amazing video. Strongly recommend you to avoid.,neutral
A okay piece of music. makes me think of childhood memories.,positive evaluation
Very okay video. would encourage you to watch this. makes me think of the good old days,inapropriate
definitely relatively long hit. Makes me reflect on what this means.,neutral
